,Probability
0,0.14033858476015676
50,0.01317927868409031
100,0.027156921858375854
150,0.028366750301712
200,0.033214222972498465
250,0.03850191484033985
300,0.03895538183731254
350,0.03698287681588337
400,0.03484421503921151
450,0.03473537163547872
500,0.035590516802260594
550,0.03611742057285139
600,0.03615929590433668
650,0.03594292021226519
700,0.035760279743037006
750,0.03573510025432799
800,0.035804656627131136
850,0.03586444081501072
900,0.035873019292592435
950,0.03585168473387981
1000,0.03583294040106336
1050,0.035829603649589765
1100,0.035835987897617744
1150,0.03584202544328877
1200,0.03584326594479237
1250,0.035841322960895323
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,4.1633363423443395e-16
