Threshold,Truck_Cost_per_Day,Truck_Frequency,3PL_Cost_per_Day,3PL_Frequency
300,226.18,3.33,303.04,3.33
350,208.62,3.61,286.17,3.63
400,191.11,3.95,270.34,3.95
450,177.28,4.26,259.43,4.22
500,167.2,4.52,249.08,4.49
550,157.87,4.8,237.55,4.83
600,147.41,5.14,229.49,5.12
650,140.72,5.4,221.86,5.43
700,131.99,5.76,217.62,5.66
750,128.74,5.92,211.32,5.94
800,121.43,6.29,203.97,6.31
850,116.38,6.57,200.75,6.54
900,75.29,6.85,192.24,6.97
950,107.01,7.17,192.08,7.14
1000,104.07,7.39,185.59,7.54
1050,99.1,7.78,182.91,7.79
1100,96.67,7.99,183.23,7.93
1150,92.2,8.4,177.28,8.37
1200,89.78,8.65,174.05,8.68
1250,86.15,9.04,172.43,8.92
1300,85.07,9.17,168.14,9.33
1350,81.83,9.57,168.46,9.47
1400,79.26,9.91,164.2,9.9
1450,77.6,10.15,162.88,10.14
1500,75.61,10.45,162.5,10.34
1550,73.86,10.73,157.99,10.8
1600,72.78,10.92,158.07,10.98
1650,70.64,11.29,156.87,11.22
1700,69.35,11.53,153.22,11.61
1750,67.87,11.82,149.93,11.98
1800,65.83,12.24,147.32,12.25
