,Probability
"(0, 0)",0.05971840577711091
"(50, 0)",0.0025428986069091853
"(50, 1)",0.018789620460344807
"(50, 2)",0.020663813991325254
"(50, 3)",0.009083648426513834
"(100, 0)",0.002611396720422916
"(100, 1)",0.019295756863768443
"(100, 2)",0.02437341417361134
"(100, 3)",0.011560050756427132
"(150, 0)",0.002731523855006012
"(150, 1)",0.020183383000206733
"(150, 2)",0.024952475536952356
"(150, 3)",0.007980341321013709
"(200, 0)",0.002938435323770049
"(200, 1)",0.02171226345041634
"(200, 2)",0.027803855810092253
"(200, 3)",0.0081852489088656
"(250, 0)",0.0031156710292762255
"(250, 1)",0.02302186802113503
"(250, 2)",0.02635969635447659
"(250, 3)",0.007076986623606749
"(300, 0)",0.003285048174514112
"(300, 1)",0.024273405249174495
"(300, 2)",0.023527682624374505
"(300, 3)",0.006673720247922273
"(350, 0)",0.003315140980484044
"(350, 1)",0.02449576268066056
"(350, 2)",0.020216094778307016
"(350, 3)",0.006305774368332701
"(400, 0)",0.003279688027462176
"(400, 1)",0.024233798821909222
"(400, 2)",0.020314763175814023
"(400, 3)",0.006598437112703283
"(450, 0)",0.0031542702078979305
"(450, 1)",0.02330707951734345
"(450, 2)",0.020365407045392032
"(450, 3)",0.006763841275281381
"(500, 0)",0.0030202642951418905
"(500, 1)",0.022316902310400667
"(500, 2)",0.020550579195983906
"(500, 3)",0.006795808548118313
"(550, 0)",0.002872801861540097
"(550, 1)",0.021227294116032178
"(550, 2)",0.0204954350398338
"(550, 3)",0.00668503196828385
"(600, 0)",0.002787224253012785
"(600, 1)",0.020594956365811542
"(600, 2)",0.020269637427522337
"(600, 3)",0.006487050157914506
"(650, 0)",0.0027501987198514403
"(650, 1)",0.02032137262418955
"(650, 2)",0.01984224802328606
"(650, 3)",0.006250295079674618
"(700, 0)",0.0027336027610451205
"(700, 1)",0.02019874415355411
"(700, 2)",0.019318717283643476
"(700, 3)",0.006053558237067709
"(750, 0)",0.0027018246132985376
"(750, 1)",0.019963933637134505
"(750, 2)",0.018763836287902902
"(750, 3)",0.005908430336811774
"(800, 0)",0.0026563721890571377
"(800, 1)",0.019628083124582404
"(800, 2)",0.018276822170126304
"(800, 3)",0.0058049327492765744
"(850, 0)",0.002600089681777341
"(850, 1)",0.019212208520903513
"(850, 2)",0.01788284963215484
"(850, 3)",0.005715984631816428
"(900, 0)",0.002539947116359713
"(900, 1)",0.018767811731099055
"(900, 2)",0.017566916097867643
"(900, 3)",0.005627565759098672
